null,null,지수명,현재가,null,전일비,등락률(%),시가지수,고가지수,저가지수,전체종목수,거래종목수,상승,상한,하락,하한,보합,거래량(천주),거래대금(백만원),상장시가총액(원)
1,188,(유) KRX-IHS Markit 코스피 200 예측 배당성장 50 TR,"1,874.34",2,"10.23","-0.54","0.00","0.00","0.00","-","0","0","0","0","0","0","0","0","0"
1,243,(유) 리츠인프라·우선주 혼합지수,"1,701.88",1,"9.74","0.58","1,690.17","1,702.31","1,686.58","14","14","8","0","5","0","1","7,514","373,147","73,519,863,679,320"
5,300,KRX 300,"1,718.30",2,"2.38","-0.14","1,718.49","1,720.43","1,701.48","300","300","126","1","165","0","9","310,396","15,296,365","1,828,839,947,132,170"
5,301,KRX Mid 200,"1,653.58",1,"15.91","0.97","1,639.03","1,653.78","1,639.02","200","200","90","0","91","0","19","268,145","3,160,017","86,827,121,939,681"
2,331,(코) 코스닥 150 거버넌스 지수,"1,849.88",1,"13.56","0.74","1,823.43","1,865.38","1,822.01","30","30","16","0","13","0","1","18,714","997,721","61,396,550,580,845"
5,351,KRX 300 정보기술,"2,617.18",1,"18.79","0.72","2,598.94","2,617.66","2,578.77","43","43","30","0","13","0","0","67,776","3,812,237","645,258,263,922,580"
5,352,KRX 300 금융,"759.45",2,"7.76","-1.01","767.07","767.07","752.72","27","27","3","0","23","0","1","39,290","623,406","131,433,712,225,465"
5,353,KRX 300 자유소비재,"1,453.19",2,"10.91","-0.75","1,463.98","1,464.02","1,444.38","39","39","10","0","27","0","2","13,875","905,634","177,063,726,969,910"
5,354,KRX 300 산업재,"614.80",2,"0.55","-0.09","615.51","616.79","607.70","50","50","20","0","28","0","2","53,903","1,514,511","172,081,080,985,035"
5,355,KRX 300 헬스케어,"4,592.51",1,"13.00","0.28","4,570.18","4,620.46","4,552.16","52","52","25","1","27","0","0","62,477","4,865,796","224,715,613,332,330"
5,356,KRX 300 커뮤니케이션서비스,"2,069.08",2,"8.79","-0.42","2,078.67","2,082.71","2,058.50","23","23","6","0","15","0","2","10,430","899,765","170,352,601,653,900"
5,357,KRX 300 소재,"1,548.72",1,"4.54","0.29","1,546.79","1,551.17","1,523.83","33","33","22","0","11","0","0","35,114","1,614,303","162,886,234,011,050"
5,358,KRX 300 필수소비재,"1,684.66",2,"14.63","-0.86","1,699.25","1,700.27","1,673.07","26","26","4","0","20","0","2","4,688","327,264","93,971,846,492,100"
5,411,KRX BBIG K-뉴딜지수,"3,217.19",1,"17.99","0.56","3,202.36","3,221.54","3,176.49","12","12","6","0","5","0","1","4,234","1,455,874","345,908,411,730,000"
5,412,KRX 2차전지 K-뉴딜지수,"4,723.29",1,"71.68","1.54","4,659.36","4,726.01","4,631.22","10","10","10","0","0","0","0","8,835","1,134,360","135,350,307,955,100"
5,413,KRX 바이오 K-뉴딜지수,"3,840.85",1,"3.09","0.08","3,827.54","3,859.58","3,805.14","10","10","6","0","4","0","0","6,520","1,357,497","170,979,151,009,200"
5,414,KRX 인터넷 K-뉴딜지수,"2,462.88",1,"16.45","0.67","2,452.20","2,484.00","2,447.48","10","10","5","0","5","0","0","2,863","436,645","90,568,018,871,700"
5,415,KRX 게임 K-뉴딜지수,"1,320.34",1,"0.86","0.07","1,319.65","1,326.33","1,303.67","10","10","3","0","6","0","1","1,667","165,727","40,778,713,259,250"
5,600,KTOP 30,"10,051.49",2,"31.32","-0.31","10,077.28","10,082.33","9,942.68","30","30","10","0","20","0","0","52,269","4,989,767","1,062,907,157,731,940"
